id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
auction,34.96,230292945,33.53134,70.44,3.47,16-03-2025_23-24-02
aioz-network,0.295513,338850244,8.09233,2.65,0.01099588,16-03-2025_23-24-02
mantle,0.809879,2725580224,6.65951,1.54,0.307978,16-03-2025_23-24-02
helium,3.24,582061339,3.97387,54.88,0.113248,16-03-2025_23-24-02
okb,48.41,2904694657,3.7822,73.8,0.580608,16-03-2025_23-24-02
kava,0.480267,520266124,3.47452,9.12,0.247359,16-03-2025_23-24-02
solayer,1.2,251646440,3.08401,1.41,0.599884,16-03-2025_23-24-02
echelon-prime,4.0,225243726,2.99327,28.0,1.19,16-03-2025_23-24-02
zcash,33.36,531547807,2.92229,3191.93,16.08,16-03-2025_23-24-02
mantra-dao,6.8,6690061605,2.86056,8.99,0.01726188,16-03-2025_23-24-02
